Lead ID,Date,Time,Lead Name,Responsible User Name,Price,Pipeline ID,Status ID
L_a3bdaa87,2025-07-22,09:23:30,Lead_d5cab2ea,User 1,0,11407743,87578751
L_cddaef1c,2025-07-22,09:16:58,Lead_4643a7f4,User 2,0,11407743,87578751
L_5631ed12,2025-07-22,09:16:19,Lead_8364fc93,User 2,0,11407743,87578751
L_0618739d,2025-07-22,09:08:46,Lead_869b1957,User 3,0,11407743,87578751
L_8d4f7006,2025-07-22,09:04:48,Lead_d48aaeb4,User 4,0,11407743,87578751
L_ea6a84fa,2025-07-22,08:47:16,Lead_119d154c,User 5,40824,11407743,142
L_fd3bd128,2025-07-22,08:30:39,Lead_aa72c4c2,User 4,0,11407743,87578751
L_0e0b0c7b,2025-07-22,08:26:23,Lead_308f6e07,User 4,0,11407743,87578751
L_b127715b,2025-07-22,08:17:40,Lead_e555bc64,User 2,0,11407743,87578751
L_82f8235a,2025-07-22,08:17:19,Lead_78428404,User 6,0,11407743,87578751
L_b6c2b3c1,2025-07-22,08:06:42,Lead_72825b00,User 2,0,11407743,87578751
L_0d6ea044,2025-07-22,08:00:05,Lead_5e612bb0,User 1,0,11407743,87578751
L_ff87ceb2,2025-07-22,07:57:04,Lead_e8ea43ac,User 1,0,11407743,87578751
L_08f6019f,2025-07-22,07:30:44,Lead_9baab147,User 4,0,11407743,87578751
L_a0348f9f,2025-07-22,06:57:02,Lead_119d154c,User 5,0,11407743,87578751
L_66824be6,2025-07-22,06:55:41,Lead_d558a05d,User 7,0,11407743,87578751
L_7d40bfeb,2025-07-22,06:48:59,Lead_a362e245,User 2,0,11407743,87578751
L_9dc1ffd7,2025-07-22,06:47:13,Lead_cec76e3f,User 5,0,11407743,87578751
L_40e1a027,2025-07-22,05:39:51,Lead_597e5d2f,User 6,0,11407743,87578751
L_84a19faa,2025-07-22,04:06:25,Lead_d1671cad,User 6,0,11407743,87578751
L_2dd91a2a,2025-07-21,20:37:41,Lead_b5d5f75e,User 8,0,11407743,87578751
L_edfafeb2,2025-07-21,20:25:39,Lead_0584fc18,User 8,0,11407743,87578751
L_3082df04,2025-07-21,19:25:03,Lead_1cd2e662,User 8,0,11407743,87578751
L_39c8e8a2,2025-07-21,19:16:49,Lead_cbfa48a9,User 8,0,11407743,87578751
L_3e33fc0a,2025-07-21,19:06:50,Lead_2057a7be,User 7,0,11407743,87578751
L_f431291d,2025-07-21,18:40:35,Lead_d9d7af8f,User 8,0,11407743,87578751
L_fe5dfdc6,2025-07-21,18:23:24,Lead_e1cca1c3,User 7,0,11407743,87578751
L_656ee7a7,2025-07-21,17:55:38,Lead_77e9ce52,User 7,0,11407743,87578751
L_37a9a2e3,2025-07-21,17:53:30,Lead_fc27f027,User 8,0,11407743,87578751
L_f78861eb,2025-07-21,17:41:39,Lead_372e9ff1,User 8,0,11407743,87578751
L_8b9c999c,2025-07-21,17:36:34,Lead_2de0ca41,User 7,0,11407743,87578751
L_4bafdbf8,2025-07-21,17:10:45,Lead_5b02f940,User 4,0,11407743,87578751
L_6ea5f22e,2025-07-21,17:05:30,Lead_f2264c9a,User 7,0,11407743,87578751
L_522ef434,2025-07-21,17:04:14,Lead_ba42915d,User 3,0,11407743,87578751
L_7f114f87,2025-07-21,16:45:53,Lead_f6b1792c,User 8,0,11407743,87578751
L_7f226b84,2025-07-21,16:06:34,Lead_f5c9a5b9,User 3,0,11407743,87578751
L_a55168b8,2025-07-21,16:04:07,Lead_8657c6d9,User 3,0,11407743,87578751
L_471d6606,2025-07-21,15:55:44,Lead_2a26664f,User 4,0,11407743,87578751
L_0be1d76f,2025-07-21,15:54:26,Lead_46c9d7da,User 4,0,11407743,87578751
L_5a7102c6,2025-07-21,15:43:45,Lead_40b57ca5,User 8,0,11407743,87578751
L_6eb7fa8e,2025-07-21,15:18:45,Lead_a2ff0451,User 3,0,11407743,87578751
L_61ff71ad,2025-07-21,15:09:01,Lead_96172aac,User 8,0,11407743,87578751
L_89ef4e4f,2025-07-21,15:02:04,Lead_12711311,User 3,0,11407743,87578751
L_17d5633b,2025-07-21,14:58:15,Lead_70d0fbbf,User 8,0,11407743,87578751
L_1a98f0a1,2025-07-21,14:57:04,Lead_102c863c,User 3,0,11407743,87578751
L_dc8820ba,2025-07-21,14:51:22,Lead_a9a87828,User 3,0,11407743,87578751
L_ee36937f,2025-07-21,14:50:54,Lead_2f132239,User 7,0,11407743,87578751
L_515c2c35,2025-07-21,14:29:33,Lead_5779c7f5,User 3,0,11407743,87578751
L_c28e9af8,2025-07-21,14:05:33,Lead_d4f819a5,User 1,0,11407743,87578751
L_036b3c8d,2025-07-21,14:03:12,Lead_5e9f0a07,User 2,0,11407743,87578751
L_84b01795,2025-07-21,13:57:04,Lead_5d924b43,User 3,0,11407743,87578751
L_1becad5d,2025-07-21,13:30:59,Lead_ff3e4e15,User 3,0,11407743,87578751
L_4aca5575,2025-07-21,12:54:13,Lead_8f199065,User 8,0,11407743,87578751
L_6a5459d4,2025-07-21,12:44:21,Lead_e4f375fc,User 3,0,11407743,87578751
L_59c82bd1,2025-07-21,12:32:23,Lead_6ad35dfd,User 4,0,11407743,87578751
L_a39646f5,2025-07-21,12:13:23,Lead_f3c83535,User 3,0,11407743,87578751
L_5bfbb769,2025-07-21,11:52:06,Lead_119d154c,User 5,54030,11407743,87578751
L_e0434a21,2025-07-21,11:44:25,Lead_dfe6d978,User 1,0,11407743,87578751
L_0564b63c,2025-07-21,11:43:43,Lead_36091576,User 1,0,11407743,87578751
L_dc58e37e,2025-07-21,11:30:25,Lead_b3ab7556,User 5,0,11407743,87578751
L_0c6a0b6a,2025-07-21,11:21:37,Lead_02fa5291,User 1,0,11407743,87578751
L_60bb5285,2025-07-21,11:08:07,Lead_3b29b4d3,User 1,0,11407743,87578751
L_c04b67e3,2025-07-21,10:38:53,Lead_2d60b627,User 4,0,11407743,87578751
L_2fcdb44a,2025-07-21,10:29:20,Lead_a07e326c,User 3,0,11407743,87578751
L_12949b1c,2025-07-21,10:25:59,Lead_0c53797c,User 4,0,11407743,87578751
L_0631c908,2025-07-21,10:25:43,Lead_b9bc6add,User 5,0,11407743,87578751
L_a3a82063,2025-07-21,10:14:04,Lead_9951ccaf,User 3,0,11407743,87578751
L_ed6551b4,2025-07-21,10:11:47,Lead_788a17a1,User 3,0,11407743,87578751
L_afc1570a,2025-07-21,10:03:06,Lead_211907eb,User 1,0,11407743,87578751
L_406f1fdb,2025-07-21,09:57:04,Lead_4a2eb401,User 3,0,11407743,87578751
L_2fb7868f,2025-07-21,09:40:05,Lead_f815b288,User 3,0,11407743,87578751
L_77262a20,2025-07-21,09:00:04,Lead_a886cf3b,User 1,0,11407743,87578751
L_129632a8,2025-07-21,08:59:41,Lead_9ad5b883,User 3,0,11407743,87578751
L_3fc71b6f,2025-07-21,08:42:42,Lead_e54179ac,User 3,0,11407743,87578751
L_3c5c0c0d,2025-07-21,08:33:30,Lead_f6d4c0d6,User 3,0,11407743,87578751
L_d59af174,2025-07-21,08:26:26,Lead_017c01f9,User 3,0,11407743,87578751
L_13c10e55,2025-07-21,08:14:17,Lead_87774357,User 6,0,11407743,87578751
L_b0c715f1,2025-07-21,08:04:01,Lead_b5c8df5c,User 4,0,11407743,87578751
L_aa977e07,2025-07-21,08:02:34,Lead_ffdc0a76,User 1,0,11407743,87578751
L_d5fcff8a,2025-07-21,07:25:19,Lead_ff188d43,User 1,0,11407743,87578751
L_beb10790,2025-07-21,07:06:57,Lead_48577559,User 6,0,11407743,87578751
L_c93c4fb6,2025-07-21,07:06:23,Lead_a39b4ac5,User 4,0,11407743,87578751
L_b036e581,2025-07-21,06:57:10,Lead_f315b091,User 5,0,11407743,87578751
L_87d43c0b,2025-07-21,06:55:17,Lead_6ae44175,User 5,0,11407743,87578751
L_6e55fac5,2025-07-21,06:53:40,Lead_5cf92c38,User 4,0,11407743,87578751
L_0d269f7e,2025-07-21,06:34:18,Lead_82025c90,User 4,0,11407743,87578751
L_337cd5e9,2025-07-21,06:25:11,Lead_6dbc768e,User 4,0,11407743,87578751
L_e4261748,2025-07-21,06:21:47,Lead_394e9d77,User 5,0,11407743,87578751
L_f4316487,2025-07-21,06:21:41,Lead_65fa403b,User 5,0,11407743,87578751
L_c45afbe2,2025-07-21,06:15:57,Lead_5db4497d,User 4,0,11407743,87578751
L_e93f30a3,2025-07-21,06:14:32,Lead_36621482,User 1,0,11407743,87578751
L_747765df,2025-07-21,06:10:43,Lead_31eadb73,User 4,0,11407743,87578751
L_80123663,2025-07-21,06:10:38,Lead_bea8c9fe,User 4,0,11407743,87578751
L_13e6d751,2025-07-21,06:05:02,Lead_a00ca3e3,User 4,0,11407743,87578751
L_548bd76c,2025-07-21,06:04:23,Lead_93732cc8,User 4,0,11407743,87578751
L_3f1746ed,2025-07-21,06:02:13,Lead_734d1fe1,User 4,0,11407743,87578751
L_a4aebb8e,2025-07-21,06:00:34,Lead_275ae722,User 4,0,11407743,87578751
L_de43cb29,2025-07-21,05:59:07,Lead_2940ccd4,User 4,0,11407743,87578751
L_c0746272,2025-07-21,05:56:35,Lead_15f55cf5,User 4,0,11407743,87578751
L_16bcc194,2025-07-21,05:54:13,Lead_2205b7de,User 4,0,11407743,87578751
L_d747c897,2025-07-21,05:48:25,Lead_16dbb73d,User 4,0,11407743,87578751
L_8c64daa2,2025-07-21,05:48:12,Lead_7d416d44,User 4,0,11407743,142
L_2d5b6875,2025-07-21,05:48:09,Lead_1027d0d3,User 4,0,11407743,87578751
L_aeab8b30,2025-07-21,05:46:13,Lead_8fa8a4f9,User 4,0,11407743,87578751
L_9ff4d883,2025-07-21,05:45:01,Lead_b3b29e81,User 4,0,11407743,87578751
L_bf0a3870,2025-07-21,05:39:44,Lead_0d08ccb7,User 4,0,11407743,87578751
L_1742f174,2025-07-21,05:39:17,Lead_b3824245,User 4,0,11407743,87578751
L_c5919104,2025-07-21,05:37:45,Lead_606863ec,User 4,0,11407743,87578751
L_4cb5a56e,2025-07-21,05:37:11,Lead_af1f3ce8,User 4,0,11407743,87578751
L_5e750568,2025-07-21,05:36:03,Lead_a6dc7bbd,User 4,0,11407743,87578751
L_9764f4d2,2025-07-21,05:35:41,Lead_5a31ccc8,User 4,0,11407743,87578751
L_f55d6d3e,2025-07-21,05:28:25,Lead_3f7ebd44,User 4,0,11407743,87578751
L_10a15a18,2025-07-21,05:28:20,Lead_48110140,User 4,0,11407743,87578751
L_38b97a5c,2025-07-21,05:26:00,Lead_cc7d81fa,User 4,0,11407743,87578751
L_2de89b1e,2025-07-21,05:25:45,Lead_d8c8955d,User 4,0,11407743,87578751
L_fefc4fde,2025-07-21,05:23:07,Lead_0d98be6f,User 4,0,11407743,87578751
L_9481f38c,2025-07-21,05:08:33,Lead_ab90d23f,User 4,0,11407743,87578751
L_1cdbca9a,2025-07-20,21:46:56,Lead_521aa73b,User 8,0,11407743,87578751
L_5d385631,2025-07-20,20:49:50,Lead_21dbc0fc,User 6,0,11407743,87578751
L_ec5279b9,2025-07-20,20:49:05,Lead_c5e5282e,User 3,0,11407743,87578751
L_01cf37ab,2025-07-20,20:29:01,Lead_192c6ddb,User 3,0,11407743,87578751
L_5555f4e4,2025-07-20,20:23:16,Lead_305caba7,User 8,0,11407743,87578751
L_524274c3,2025-07-20,20:13:44,Lead_8c1e82b0,User 4,0,11407743,87578751
L_1578ad55,2025-07-20,20:03:22,Lead_c7f000ca,User 8,0,11407743,87578751
L_4fc1c697,2025-07-20,19:18:25,Lead_362d5e5e,User 8,0,11407743,87578751
L_0afa2e67,2025-07-20,19:11:03,Lead_72ac43bc,User 8,0,11407743,87578751
L_2aad27d8,2025-07-20,19:02:36,Lead_ca286529,User 3,0,11407743,87578751
L_f7e4cdae,2025-07-20,18:35:47,Lead_ed27dd88,User 8,0,11407743,87578751
L_37a85618,2025-07-20,18:34:46,Lead_ab08813f,User 1,0,11407743,87578751
L_e4ea8d3c,2025-07-20,18:33:08,Lead_53a90462,User 3,0,11407743,87578751
L_0df8f915,2025-07-20,18:24:50,Lead_a74b1a43,User 8,0,11407743,87578751
L_886794b3,2025-07-20,18:19:31,Lead_7ab7630a,User 5,0,11407743,87578751
L_30abb4d7,2025-07-20,18:08:39,Lead_4a15108c,User 3,0,11407743,87578751
L_844a2675,2025-07-20,18:02:12,Lead_84518c52,User 7,0,11407743,87578751
L_67fc91f2,2025-07-20,17:58:10,Lead_aa72c4c2,User 4,0,11407743,87578751
L_a26a5a46,2025-07-20,17:56:33,Lead_e3143132,User 3,0,11407743,87578751
L_e88e7415,2025-07-20,17:43:37,Lead_11246558,User 3,0,11407743,87578751
L_6ee34214,2025-07-20,17:08:27,Lead_c7cd4285,User 3,0,11407743,87578751
L_f7047d5a,2025-07-20,17:00:51,Lead_7fcdd5c2,User 8,0,11407743,87578751
L_f1ddc698,2025-07-20,16:55:35,Lead_2f938710,User 3,0,11407743,87578751
L_182e5341,2025-07-20,16:53:04,Lead_dc126860,User 8,0,11407743,87578751
L_70b975ef,2025-07-20,16:33:28,Lead_3ba1b06e,User 8,0,11407743,87578751
L_1097487a,2025-07-20,16:28:38,Lead_01bb3ed7,User 3,0,11407743,87578751
L_703c22c5,2025-07-20,16:12:58,Lead_401340a2,User 4,0,11407743,87578751
L_95567d7d,2025-07-20,16:02:09,Lead_ad8e82dc,User 7,0,11407743,87578751
L_20b3e4a1,2025-07-20,15:58:41,Lead_9635450b,User 6,0,11407743,87578751
L_37e9e65e,2025-07-20,15:47:02,Lead_c8f84cd4,User 8,0,11407743,87578751
L_cd67050a,2025-07-20,15:46:14,Lead_7085d646,User 7,0,11407743,87578751
L_62320925,2025-07-20,15:37:24,Lead_9036998e,User 4,0,11407743,87578751
L_a370e03b,2025-07-20,15:36:50,Lead_92f89999,User 8,0,11407743,87578751
L_d4042cc2,2025-07-20,15:34:19,Lead_6d28972c,User 3,0,11407743,87578751
L_b612590a,2025-07-20,15:23:50,Lead_5b2ac811,User 7,0,11407743,87578751
L_72901032,2025-07-20,15:16:32,Lead_672bd775,User 7,0,11407743,87578751
L_dae5bd9c,2025-07-20,15:15:41,Lead_97c69c3a,User 6,0,11407743,87578751
L_25d31dd5,2025-07-20,15:15:24,Lead_11410e53,User 3,0,11407743,87578751
L_eb1d3324,2025-07-20,15:09:15,Lead_5f008682,User 3,0,11407743,87578751
L_e104b51e,2025-07-20,15:02:15,Lead_a2d2d538,User 5,0,11407743,87578751
L_42b30af7,2025-07-20,14:22:07,Lead_849d3ae6,User 5,0,11407743,87578751
L_1b6e6489,2025-07-20,14:21:16,Lead_f2ff67e0,User 3,0,11407743,87578751
L_1d3e7e1b,2025-07-20,14:15:36,Lead_e6698137,User 6,0,11407743,87578751
L_130187f5,2025-07-20,14:13:43,Lead_e6a07996,User 3,0,11407743,87578751
L_cc1f10c7,2025-07-20,14:10:53,Lead_275aab37,User 8,0,11407743,87578751
L_ce75dbfb,2025-07-20,14:10:20,Lead_7179225f,User 6,0,11407743,87578751
L_41a91622,2025-07-20,14:10:20,Lead_4653a76b,User 7,0,11407743,87578751
L_7926ea46,2025-07-20,14:06:33,Lead_c25ee07b,User 8,0,11407743,87578751
L_e5059fe0,2025-07-20,13:59:23,Lead_a30b7d21,User 6,0,11407743,87578751
L_186c2e73,2025-07-20,13:56:03,Lead_69fcdeb8,User 3,0,11407743,87578751
L_c85af6bf,2025-07-20,13:51:19,Lead_a3bc1744,User 7,0,11407743,87578751
L_781e9c64,2025-07-20,13:46:17,Lead_f943530b,User 6,0,11407743,87578751
