Talk ID,Date,Time,Origin,Contact ID,Contact Name,Lead ID,Responsible User Name,Chat ID,Status,Duration (sec),First Message Time,First Response Duration (sec)
26749,2025-07-22,08:16:05,WhatsApp (CRM),15763900,Contact_19de619b,L_3125210d,,Chat_1ca98039,in_work,,,
26748,2025-07-22,08:16:04,WhatsApp (CRM),15763898,Contact_78a3bb14,L_bc3a12a7,,Chat_cbc8c7d2,in_work,,,
26747,2025-07-22,08:15:40,WhatsApp (CRM),15763884,Contact_c22ee73d,L_e8f9b8eb,,Chat_f7e130c7,in_work,,,
26746,2025-07-22,08:15:12,Instagram Business,15763868,Contact_f6e9e25d,L_da4d3a9b,,Chat_bd172cb1,in_work,,,
26745,2025-07-22,08:14:55,Instagram Business,15763856,Contact_7ad76f2c,L_82e86c91,,Chat_9e3d70d4,in_work,,,
26743,2025-07-22,08:13:50,WhatsApp (CRM),15763828,Contact_4712d04c,L_ae9d13c4,,Chat_c11e84eb,in_work,,,
26742,2025-07-22,08:13:06,Instagram Business,15763810,Contact_9741bcf2,L_413f5ce9,,Chat_22172ec9,in_work,,,
26741,2025-07-22,08:12:42,WhatsApp (CRM),15763804,Contact_e17579cf,L_63f08daa,,Chat_22dc3be9,in_work,,,
26740,2025-07-22,08:12:28,Instagram Business,15763794,Contact_2c304406,L_9cd1a80a,,Chat_393330c6,in_work,,,
26739,2025-07-22,08:12:03,WhatsApp (CRM),15763782,Contact_139b3cb9,L_c10a8e21,,Chat_dcac365d,in_work,,,
26738,2025-07-22,08:12:02,WhatsApp (CRM),15763776,Contact_dfb6c53f,L_0f6a32f5,,Chat_88f286bb,in_work,,,
26737,2025-07-22,08:11:51,WhatsApp (CRM),15763772,Contact_0532c4dc,L_9e5455d8,,Chat_8db6b863,in_work,,,
26736,2025-07-22,08:10:17,WhatsApp (CRM),15763724,Contact_f162a08f,L_9a059f29,,Chat_e3bdca39,in_work,,,
26735,2025-07-22,08:09:49,Instagram Business,15763712,Contact_cc6d4dbe,L_4104a518,,Chat_b9405f4e,in_work,,,
26734,2025-07-22,08:09:46,Instagram Business,15763708,Contact_928a6f3a,L_94639305,,Chat_8e116571,in_work,,,
26733,2025-07-22,08:09:27,WhatsApp (CRM),15763700,Contact_c137bdcf,L_e3c863f4,,Chat_0d08f2f6,in_work,,,
26732,2025-07-22,08:08:38,Instagram Business,15763680,Contact_687e2d8b,L_48ad9004,,Chat_7f31ab4a,in_work,,,
26731,2025-07-22,08:08:36,WhatsApp (CRM),15763678,Contact_2281fe8a,L_00a0de80,,Chat_16e25f9d,in_work,,,
26730,2025-07-22,08:08:21,WhatsApp (CRM),15763664,Contact_5328019e,L_cd96604c,,Chat_0039fe76,in_work,,,
